GT1,GT2,GT3,GT4,GT5
5.296605229377746582e-01,1.629569649696350098e+00,5.975867748260498047e+00,2.131362259387969971e-01,8.733975887298583984e-02
-6.440467238426208496e-01,-3.589371144771575928e-01,6.397004127502441406e+00,-6.003954410552978516e-01,-8.737549781799316406e-01
-2.939046323299407959e-01,-1.233381405472755432e-02,6.902431488037109375e+00,-2.406934201717376709e-01,-3.872137665748596191e-01
-8.392394334077835083e-02,-2.033799886703491211e-01,7.563854217529296875e+00,1.373216658830642700e-01,-1.292753666639328003e-01
-4.771201312541961670e-01,1.145337581634521484e+00,5.218327522277832031e+00,-5.984404087066650391e-01,-6.526045203208923340e-01
-1.264175474643707275e-01,1.936834573745727539e+00,7.664394855499267578e+00,2.154939807951450348e-02,-2.321632653474807739e-01
3.610401451587677002e-01,3.131121993064880371e-01,5.826156139373779297e+00,7.106234878301620483e-02,1.551615446805953979e-01
4.267271161079406738e-01,-2.702130675315856934e-01,5.493910312652587891e+00,2.158467620611190796e-01,1.357353478670120239e-01
-2.562338709831237793e-01,1.591481924057006836e+00,5.093988418579101562e+00,-4.251151680946350098e-01,-4.271789193153381348e-01
-4.137682542204856873e-02,1.714434504508972168e+00,5.694674015045166016e+00,-3.353550732135772705e-01,-6.007098555564880371e-01
-7.576611638069152832e-01,8.188700675964355469e-01,6.128634452819824219e+00,-5.614941120147705078e-01,-8.171919584274291992e-01
1.816725581884384155e-01,1.607173085212707520e+00,6.512045860290527344e+00,2.524650692939758301e-01,1.676802635192871094e-01
-9.923163056373596191e-01,1.615211844444274902e+00,7.450506210327148438e+00,-1.159667730331420898e+00,-1.251507043838500977e+00
5.829010009765625000e-01,3.233875334262847900e-01,7.755896568298339844e+00,-2.124416083097457886e-01,-6.406030058860778809e-02
-9.776129722595214844e-01,-2.139932364225387573e-01,5.627953052520751953e+00,-1.041403651237487793e+00,-1.322311401367187500e+00
-1.988950967788696289e-01,-9.977001547813415527e-01,7.424276828765869141e+00,-1.756661199033260345e-02,-3.063339591026306152e-01
5.373928546905517578e-01,1.074107643216848373e-02,5.331136703491210938e+00,3.914372026920318604e-01,3.976422548294067383e-01
3.015595078468322754e-01,5.321722626686096191e-01,7.876208305358886719e+00,-4.075193703174591064e-01,-3.813760578632354736e-01
6.675966978073120117e-01,1.290033340454101562e+00,6.807966232299804688e+00,5.798195600509643555e-01,3.684157133102416992e-01
-8.551684021949768066e-01,1.896781682968139648e+00,5.988632202148437500e+00,-7.120575308799743652e-01,-8.688930869102478027e-01
5.211058855056762695e-01,1.722390055656433105e+00,6.813270568847656250e+00,1.382195949554443359e-01,-1.067973077297210693e-01
-8.383528590202331543e-01,1.727522373199462891e+00,7.468054771423339844e+00,-6.717934012413024902e-01,-8.711447119712829590e-01
-5.458129644393920898e-01,2.934476137161254883e-01,7.302683830261230469e+00,-4.053462445735931396e-01,-6.205682754516601562e-01
5.444038510322570801e-01,1.222893714904785156e+00,5.644785404205322266e+00,1.414049714803695679e-01,3.970851004123687744e-01
-3.641752004623413086e-01,1.944481968879699707e+00,6.565013885498046875e+00,-8.023878931999206543e-01,-6.978406310081481934e-01
4.801544249057769775e-01,4.793875850737094879e-03,5.923485755920410156e+00,1.457206308841705322e-01,1.293118000030517578e-01
-2.466955780982971191e-01,1.883466392755508423e-01,6.790500164031982422e+00,-6.265925765037536621e-01,-4.290367066860198975e-01
4.146332144737243652e-01,-4.576852321624755859e-01,6.976732254028320312e+00,2.174793183803558350e-01,1.015703678131103516e-01
2.625910341739654541e-01,3.357345461845397949e-01,7.903140544891357422e+00,2.975234687328338623e-01,9.482894092798233032e-02
-3.277968466281890869e-01,4.410131573677062988e-01,5.998511791229248047e+00,-1.888691782951354980e-01,-4.506561756134033203e-01
1.193477362394332886e-01,-2.677270472049713135e-01,5.257226467132568359e+00,2.764894366264343262e-01,8.676432818174362183e-02
1.254167258739471436e-01,-4.480220377445220947e-01,7.825912475585937500e+00,-4.160423278808593750e-01,-2.235450893640518188e-01
5.139433145523071289e-01,2.371405065059661865e-01,7.162191867828369141e+00,3.422268927097320557e-01,4.708671569824218750e-01
2.926610410213470459e-01,-1.300220936536788940e-01,5.270840167999267578e+00,1.908940821886062622e-01,2.470538020133972168e-01
-4.144112467765808105e-01,-7.484294176101684570e-01,7.458812713623046875e+00,-5.766192674636840820e-01,-5.775257945060729980e-01
-2.113417834043502808e-01,1.522608160972595215e+00,5.185902118682861328e+00,-1.796734780073165894e-01,-3.448188602924346924e-01
-2.355535179376602173e-01,8.739122748374938965e-01,6.986473083496093750e+00,-3.354831337928771973e-01,-6.359832882881164551e-01
3.885531425476074219e-01,1.380958914756774902e+00,5.160738945007324219e+00,-1.200123224407434464e-02,-2.999272942543029785e-01
1.673863679170608521e-01,-4.282182455062866211e-01,7.193757534027099609e+00,-2.867302894592285156e-01,-5.507614836096763611e-02
1.992069333791732788e-01,-4.871237277984619141e-01,7.366273880004882812e+00,-1.257774978876113892e-01,9.119289368391036987e-02
